CD_PRODUIT;NOM_PRODUIT;PRIX_ACHAT_PRODUIT;PRIX_VENTE_PRODUIT
TEC-PH-5816;Samsung Convoy 3;53.2752;66.594
FUR-CH-5379;Novimex Executive Leather Armchair. Black;219.816;274.77
TEC-PH-5356;Nokia Smart Phone. with Caller ID;204.4512;255.564
TEC-PH-5267;Motorola Smart Phone. Cordless;437.0904;546.363
TEC-CO-6011;Sharp Wireless Fax. High-Speed;184.1424;230.178
TEC-PH-5842;Samsung Smart Phone. with Caller ID;203.568;254.46
FUR-CH-5378;Novimex Executive Leather Armchair. Adjustable;110.5056;138.132
FUR-TA-3764;Chromcraft Conference Table. Fully Assembled;372.9664;466.208
FUR-BO-5957;Sauder Facets Collection Library. Sky Alder Finish;95.7488;119.686
FUR-CH-4421;Global Push Button Manager's Chair. Indigo;43.8408;54.801
OFF-AR-5309;Newell 330;3.8272;4.784
FUR-TA-3420;Bevis Conference Table. Fully Assembled;111.0276;138.7845
TEC-PH-3807;Cisco Smart Phone. with Caller ID;157.0176;196.272
FUR-CH-4530;Harbour Creations Executive Leather Armchair. Adjustable;113.0832;141.354
OFF-AP-4959;KitchenAid Microwave. White;148.0608;185.076
OFF-AP-3575;Breville Refrigerator. Red;166.1856;207.732
OFF-ST-3078;Akro Stacking Bins;6.312;7.89
OFF-AP-4743;Hoover Stove. Red;181.9104;227.388
TEC-CO-3597;Brother Fax Machine. High-Speed;235.65456;294.5682
OFF-AP-4967;KitchenAid Stove. White;136.3896;170.487
FUR-TA-4644;Hon Computer Table. with Bottom Storage;276.8808;346.101
OFF-ST-3744;"Carina 42""Hx23 3/4""W Media Storage Unit";51.8272;64.784
FUR-CH-5774;SAFCO Executive Leather Armchair. Black;275.4;344.25
OFF-AP-4960;KitchenAid Refrigerator. Black;210.948;263.685
TEC-PH-5268;Motorola Smart Phone. Full Size;154.2456;192.807
FUR-TA-4643;Hon Computer Table. Fully Assembled;276.4776;345.597
FUR-TA-5060;Lesro Conference Table. with Bottom Storage;445.9416;557.427
OFF-FA-6129;Staples;16.8832;21.104
FUR-CH-5443;Office Star Executive Leather Armchair. Red;150.2976;187.872
TEC-PH-5841;Samsung Smart Phone. VoIP;203.5968;254.496
TEC-MA-5503;Okidata Inkjet. Wireless;75.4128;94.266
TEC-PH-4389;Geemarc AmpliPOWER60;44.544;55.68
OFF-AP-3579;Breville Stove. Red;299.488;374.36
OFF-ST-4291;Fellowes Super Stor/Drawer Files;103.392;129.24
TEC-PH-3148;Apple Smart Phone. Full Size;152.6904;190.863
